No.,Company Name,Logo/Brand,Sponsor Type,Hall,pavilion no.,Originator Country,Representatives,Basic introduction,News/Recent Outstanding Achievement/Applications and Project References,Type of Industry,Hydrogen-focused business,Website,Form of Contacts,Highlighted Info,Unknown,Source_Sheet,Img_Logo,Img_Rep,Img_NewsProj,Img_Contact,Img_Highlight
17,Circor Hale Hamilton,-,Exhibitors,D,32,United Kingdom,-,"For over 70 years, Hale Hamilton has partnered with customers to deliver mission-critical pressure and flow control solutions. In meeting our clients’ needs, we utilize a range of pressure and flow control technologies with the scope of our supply ranging from individual valves to fully integrated fluid control systems. Our team of Engineers, Application Experts, and Project Managers have a broad range of experience in delivering cost-effective solutions with projects delivered to specification, time, and cost.",-,Valve Supplier,Hydrogen Production Equipment Manaufacturers and its apparatus,https://www.circor.com/brands/hale-hamilton,"Website; Tel: +1 773 249 6886; E :
hari.jayaraman@circor.com",-,-,C,Circor Hale Hamilton_Logo_Image_249.png,Circor Hale Hamilton_Rep_Image_250.png,Circor Hale Hamilton_NewsProj_Image_251.png,,Circor Hale Hamilton_Highlight_Image_252.png
18,Clean Power Hydrogen Group Ltd,-,Exhibitors,B,08b,United Kingdom,-,"""Clean Power Hydrogen Group Ltd manufactures the unique Membrane-Free Electrolyser for green hydrogen production. We aim to be the leading developer and manufacturer of green hydrogen technologies, to reduce the creation of harmful emissions by participating in the growth of the hydrogen economy.""",-,Hydrogen,Hydrogen Production Equipment Manaufacturers and its apparatus,https://www.cph2.com/,Website; Tel: +44 7866 746215; E: samantha.jones@cph2.com; https://www.facebook.com/CPHtwo; https://twitter.com/CleanPowerH2,-,-,C,Clean Power Hydrogen Group Ltd_Logo_Image_253.png,Clean Power Hydrogen Group Ltd_Rep_Image_254.png,Clean Power Hydrogen Group Ltd_NewsProj_Image_255.png,,Clean Power Hydrogen Group Ltd_Highlight_Image_256.png
19,Cluster de Energia del Pais Vasco (ACE),-,Exhibitors,B,04,Spain,-,"The Energy Cluster of the Basque Country (ACE) is a non-profit association established at the end of 1996 within the framework of the Basque Government's policy to promote the competitiveness of the industrial fabric.

It currently integrates  200  companies and entities : energy operators, equipment and component manufacturers, engineering companies, service companies, as well as agents of the Basque Science, Technology and Innovation Network and public agencies of the Basque Government .

Mission : Promote the competitiveness of the Basque energy sector through collaboration.

Vision : Consolidate the global positioning of the Basque energy sector and the Association as a catalyst for the opportunities offered by the energy transition.",-,Non-profit association,H2 Community/ Professional Association,https://www-clusterenergia-com.translate.goog/inicio?_x_tr_sl=es&_x_tr_tl=en&_x_tr_hl=en&_x_tr_pto=sc,Website; Tel: +34 688 78 90 23; E: mgonzalez@clusterenergia.com; https://www-youtube-com.translate.goog/channel/UCXXbOi-R9JhaicVcW74h5bQ?_x_tr_sl=es&_x_tr_tl=en&_x_tr_hl=en&_x_tr_pto=sc,-,-,C,Cluster de Energia del Pais Vasco ACE_Logo_Image_257.png,Cluster de Energia del Pais Vasco ACE_Rep_Image_258.png,Cluster de Energia del Pais Vasco ACE_NewsProj_Image_259.png,,Cluster de Energia del Pais Vasco ACE_Highlight_Image_260.png
20,Cluster de Energia del Pais Vasco (ACE),-,Exhibitors,B,28,Spain,-,"The Energy Cluster of the Basque Country (ACE) is a non-profit association established at the end of 1996 within the framework of the Basque Government's policy to promote the competitiveness of the industrial fabric.

It currently integrates  200  companies and entities : energy operators, equipment and component manufacturers, engineering companies, service companies, as well as agents of the Basque Science, Technology and Innovation Network and public agencies of the Basque Government .

Mission : Promote the competitiveness of the Basque energy sector through collaboration.

Vision : Consolidate the global positioning of the Basque energy sector and the Association as a catalyst for the opportunities offered by the energy transition.",-,Non-profit association,H2 Community/ Professional Association,https://www-clusterenergia-com.translate.goog/inicio?_x_tr_sl=es&_x_tr_tl=en&_x_tr_hl=en&_x_tr_pto=sc,Website; Tel: +34 688 78 90 23; E: mgonzalez@clusterenergia.com; https://www-youtube-com.translate.goog/channel/UCXXbOi-R9JhaicVcW74h5bQ?_x_tr_sl=es&_x_tr_tl=en&_x_tr_hl=en&_x_tr_pto=sc,-,-,C,Cluster de Energia del Pais Vasco ACE_Logo_Image_257.png,Cluster de Energia del Pais Vasco ACE_Rep_Image_258.png,Cluster de Energia del Pais Vasco ACE_NewsProj_Image_259.png,,Cluster de Energia del Pais Vasco ACE_Highlight_Image_260.png
21,Comburex S.r.l,-,Exhibitors,D,38,Italy,-,"""At Comburex Srl we are developing high pressure Type 4 cylinders made of composite and thermoplastic liner, and type 5 to store gas at high pressure (350 – 1000 bar).

The tanks are composed of a mixture of resin and fibers (composite material) where the resin acts as a binding agent that holds all the fibers together, creating a strong structure. A thermoplastic liner or a special resin is then used to reach hydrogen impermeability.

Our cylinders are produced using sophisticated filament winding machines to combine a high level of automation with precise fibre layout.",-,Hydrogen Storage,Hydrogen Storage tank and other forms of Pressure Vessels,https://comburex.com/,"Website; Tel: +1 393396057962; E:
gherardo.becagli@comburex.com",-,-,C,Comburex Srl_Logo_Image_261.png,Comburex Srl_Rep_Image_262.png,Comburex Srl_NewsProj_Image_263.png,,Comburex Srl_Highlight_Image_264.png
22,COMSOL,-,Exhibitors,D,06,United States,-,"COMSOL is a global provider of simulation software for product design and research to technical enterprises, research labs, and universities. Its COMSOL Multiphysics® product is an integrated software environment for creating physics-based models and simulation applications. A particular strength is its ability to account for coupled or multiphysics phenomena.

Add-on products expand the simulation platform for electromagnetics, structural, acoustics, fluid flow, heat transfer, and chemical applications. Interfacing tools enable the integration of COMSOL Multiphysics® simulations with all major technical computing and CAD tools on the CAE market.",-,"	Computer-aided engineering, Finite element analysis",Hydrogen Production Equipment Manaufacturers and its apparatus,https://www.comsol.com/,Website; Tel: 31(0)793634230; E: info-nl@comsol.com; https://www.facebook.com/multiphysics/; https://www.youtube.com/@comsol/featured,-,-,C,COMSOL_Logo_Image_265.png,COMSOL_Rep_Image_266.png,COMSOL_NewsProj_Image_267.png,,COMSOL_Highlight_Image_268.png
23,Conovalve Control Valves,-,Exhibitors,C,130,Netherlands,-,"Conovalve offers you the most extensive range of control valves and instrumentation for the control of virtually all industrial processes. We supply to end users, engineering firms and machine or installation construction. We listen carefully to your question so that we can guarantee optimal process control with the best solution.",-,Control Valve Supplier,Hydrogen Production Equipment Manaufacturers and its apparatus,https://www.conovalve.nl/nl/,Website; Tel: 31(0)6 224 888 00; E: elamers@conovalve.nl,-,-,C,Conovalve Control Valves_Logo_Image_269.png,Conovalve Control Valves_Rep_Image_270.png,Conovalve Control Valves_NewsProj_Image_271.png,,Conovalve Control Valves_Highlight_Image_272.png
24,Consilium Safety Netherlands BV,-,Exhibitors,B,38,Sweden,-," Consilium Safety Group is a world-leading solution provider of fire, flame and gas safety technologies for the marine, energy, rolling stock and building sectors. By combining safety expertise with intelligent detection, the company contributes to protecting lives, values and the planet through technology. What started in 1912 is today an international company driven by innovation. ",-,Fire Protection,Hydrogen Production Equipment Manaufacturers and its apparatus,https://www.consiliumsafety.com/en/,Website; Tel: +31 6 50121418; E: cornelis.heuvelman@consiliumsafety.com; https://www.facebook.com/ConsiliumSafety/; https://www.youtube.com/channel/UCbQGAA_tIA6AlsPYKiIsGow ,-,-,C,Consilium Safety Netherlands BV_Logo_Image_273.png,Consilium Safety Netherlands BV_Rep_Image_274.png,Consilium Safety Netherlands BV_NewsProj_Image_275.png,,Consilium Safety Netherlands BV_Highlight_Image_276.png
25,"CPU Hydrogen Power Technology (Suzhou) co., Ltd",-,Exhibitors,D,86,China,-,"Established in 2021 and nestled in the vibrant city of Suzhou, China, CPU Hydrogen Power Technology (Suzhou) Co., Ltd., or CPU H2, stands at the forefront of revolutionary hydrogen technology. As one of the inaugural enterprises in the realm of large-scale electrolysis hydrogen production equipment, we're rewriting the future of energy solutions. Embarking on our journey, we've crafted three distinct hydrogen production system series: Serie-P, - C, and -D. This dynamic trio showcases a hydrogen production capacity from 50 to 1000 Nm3/h. We are catalyst for transformation across various industries. From the chemical sector to transportation, energy storage, medical research, and agricultural production, we tailor on-site hydrogen production solutions that propel progress. The company also has the technical reserves of PEM, AEM and other new water electrolysis hydrogen production technology. The company has a complete quality system, has passed ISO 9001:2015, ISO 45001:2018, ISO 14001:2015 and other quality management system certification.",-,Hydrogen,Hydrogen Project Owners/Showcase/Reference/Business Portfolio,http://www.cpuh2.cn/,Website; Tel: +86-0512-65885598; E:sales02@cpugl.com,-,-,C,CPU Hydrogen Power Technology Suzhou co Ltd_Logo_Image_277.png,CPU Hydrogen Power Technology Suzhou co Ltd_Rep_Image_278.png,CPU Hydrogen Power Technology Suzhou co Ltd_NewsProj_Image_279.png,,CPU Hydrogen Power Technology Suzhou co Ltd_Highlight_Image_280.png
26,Crowcon Detection Instruments Ltd,-,Exhibitors,A,40,United Kingdom,-,"Crowcon blends more than 50 years of gas safety experience with future-focused thinking to deliver cleaner, safer and healthier environments worldwide. As global leaders in gas sensing solutions, we have a solid reputation for reliability, innovation and customer service. Now we’re harnessing those qualities to twenty-first century technologies to create practical digital solutions that drive improvements in safety whilst giving our customers the data and insights they need to streamline processes, maximise efficiency and get the very best value from their resources.",-,Gas Detection,Hydrogen Production Equipment Manaufacturers and its apparatus,https://www.crowcon.com/,Website; Tel: +44 1235 557700; E: hello@crowcon.com; https://twitter.com/Crowcon; https://www.youtube.com/channel/UCLytxW_HuiLW-2a5zQBYmrA,-,-,C,Crowcon Detection Instruments Ltd_Logo_Image_281.png,Crowcon Detection Instruments Ltd_Rep_Image_282.png,Crowcon Detection Instruments Ltd_NewsProj_Image_283.png,,Crowcon Detection Instruments Ltd_Highlight_Image_284.png
27,Cryonorm B.V.,-,Exhibitors,C,140,Netherlands,-,"As from 1968 at the forefront of development and application of cryogenic vaporizers , Cryonorm has employed a combination of technology and production techniques to satisfy a diverse range of vaporizing applications for liquefied air gases and LNG. ain activity is the design and sales of LNG/L-CNG fueling station. LNG marine fuel system, LNG satellite plants, LNG ship bunkering plants and small scale LNG liquefaction plants.
Cryonorm group considers LNG and more over bio-LNG as the best possible fuel for the coming decade because of the economical and environmental advantages over the current oil-based fuels. Consequently, Cryonorm sees small and mid-scale LNG systems as an essential part of the LNG supply chain. With this, we contribute to an important role in a more sustainable economy.",-,Energy,Offtaker or Terminal Ports or Maritime Logistic  or Refuelling Station,https://cryonorm.com/,Website; Tel: +31 6 11319918; E: jglorie@cryonorm.com; https://www.facebook.com/cryonorm.bv/,-,-,C,Cryonorm BV_Logo_Image_285.png,Cryonorm BV_Rep_Image_286.png,Cryonorm BV_NewsProj_Image_287.png,,Cryonorm BV_Highlight_Image_288.png
28,Cryovat Productie B.V. / Tankbouw Rootselaar,-,Exhibitors,D,48,Netherlands,-,"""The activities of Cryovat include design, manufacturing, installation and maintenance of stationary and transportable cryogenic storage tanks, vaporizers, small scale LNG equipment and skids for cryogenic applications.""",-,Pressure Vessel Supplier,Hydrogen Storage tank and other forms of Pressure Vessels,https://cryovat.com/,Website; Tel: +31 6 55158391; E: timdvanrootselaar@tankbouwrootselaar.com,-,-,C,Cryovat Productie BV  Tankbouw Rootselaar_Logo_Image_289.png,Cryovat Productie BV  Tankbouw Rootselaar_Rep_Image_290.png,Cryovat Productie BV  Tankbouw Rootselaar_NewsProj_Image_291.png,,Cryovat Productie BV  Tankbouw Rootselaar_Highlight_Image_292.png
29,"
CRYOWORLD",-,Exhibitors,B,86,Netherlands,-,"""Developer and manufacturer of cryogenic machines and products for liquid nitrogen, helium, hydrogen. Focus on the scientific and hydrogen market.""",-,Cryogenic technology,Hydrogen Storage tank and other forms of Pressure Vessels,https://www.cryoworld.com/,"Website; Tel: +1 310228743930; E: 
r.demas@cryoworld.com",-,-,C,CRYOWORLD_Logo_Image_293.png,CRYOWORLD_Rep_Image_294.png,CRYOWORLD_NewsProj_Image_295.png,,CRYOWORLD_Highlight_Image_296.png
1,Daures Green Hydrogen Village,-,Exhibitor,C,114,Namibia,-,"The Daures Green Hydrogen Village is a green hydrogen project that benefits from the amazing natural resources available in Namibia. The project site measures 15,000 hectares of land with an ongoing metrological mast campaign assessing wind data that commenced in October 2023.","1.Produced Hydrogen, Green Ammonia To Be Used For Local Consumption On The Project Site",-,Hydrogen Project Owners/Showcase/Reference/Business Portfolio,https://daures.green/,-,-,-,D,Daures Green Hydrogen Village_Logo_Image_297.png,Daures Green Hydrogen Village_Rep_Image_298.png,,Daures Green Hydrogen Village_Contact_Image_299.png,Daures Green Hydrogen Village_Highlight_Image_300.png
2,Daxing International,-,Exhibitor,D,100,China,-,"Renewable Energy Semiconductor Manufacturing
",-,Semiconductor Manufacturing,Hydrogen Production Equipment Manaufacturers and its apparatus,-,-,-,-,D,Daxing International_Logo_Image_301.png,,,,Daxing International_Highlight_Image_302.png
3,De Jong Energy Services,-,Exhibitor,E,60,Netherlands,-,"De Jong Combustion and R&V Engineering, entities of A. de Jong Group/ A. de Jong Groep, design, engineer, develop, manufacture, commission, and service an extensive range of tailor-made industrial burner systems. These products are applied in e.g. conventional steam boilers, combined cycle units (supplementary firing), CO boilers, incinerators and many other","1.R&V Engineering has supplied two identical dual stage burner systems for a hybrid integrated thermo solar combined cycle (ISCC) power plant 
2.De Jong Combustion designed a duct burner installation using three vertically arranged air augmented burner elements.
3.DJC supplied to an Austrian boiler manufacturer a special design grid type duct burner for a project in Malaysia.",Combustion and R&V Engineering,Academic or Research Institution,https://dejongenergyservices.com/,-,-,-,D,De Jong Energy Services_Logo_Image_303.png,De Jong Energy Services_Rep_Image_304.png,,De Jong Energy Services_Contact_Image_305.png,De Jong Energy Services_Highlight_Image_306.png
4,Demaco Hydrogen,-,Exhibitor,B,2,Netherlands,-,Demaco is an expert in the field of cryogenic technology. We build infrastructures to facilitate the transport and application of industrial gases at extremely low temperatures. Between -160 and -271 ℃,"Demaco applies these techniques with producers of industrial gases and for end users of liquid gas, as used in the food industry,  pharmaceutical companies, automotive, aerospace (such as ESA: creation and implementation of the European space programs and satellites), and medical (think of oncology, laser treatment, and blood banks). Also, research institutes (for example CERN: fundamental research of elementary particles) and universities work together closely with Demaco. In a lot of cases, it is about the transportation and conditioning of liquid Nitrogen (LN2); also liquid Helium (LHe) and liquid natural gas (LNG) are well-known media. Demaco is also focusing on the developing liquid Hydrogen (LH2) market with all its specific characteristics. ",cryogenic technology.,Hydrogen Production Equipment Manaufacturers and its apparatus,https://demaco-cryogenics.com/,"Address : Oester 2
1723 HW, Noord-Scharwoude
The Netherlands

Tel: +31 226 33 21 00
Email: info@demaco.nl",-,-,D,Demaco Hydrogen_Logo_Image_307.png,Demaco Hydrogen_Rep_Image_308.png,,,Demaco Hydrogen_Highlight_Image_309.png
5,Distran,-,Exhibitors,E,47,Switzerland,-,"Distran is the world's leading manufacturer of ultrasonic cameras for gas leak detection, with Swiss-quality standards.","1.Pinpoint gas leaks without scanning each single element
2.Estimating gas leak rates
3.Partial discharges such as Corona discharges, arcing and tracking happen in high-voltage systems and may lead to failures",Detectors,Hydrogen Production Equipment Manaufacturers and its apparatus,https://distran.swiss/,"Distran AG
Heinrichstrasse 200
8005 Zürich, Switzerland
sales@distran.ch
Phone: +41 44 271 15 79",-,-,D,Distran_Logo_Image_310.png,Distran_Rep_Image_311.png,,,Distran_Highlight_Image_312.png
6,"DL CO., LTD.",-,Exhibitors,E,3,South Korea,-,"We are committed to provide transport and storage solution

for LPG, Cryogenic, LNG, Liquid Hydrogen, BCT and Oil.","Development of Korea’s First, Maximum Capacity Liquefied Hydrogen Tank Trailer
https://dalim.co.kr/development-of-koreas-first-maximum-capacity-liquefied-hydrogen-tank-trailer/",transport and storage,Hydrogen Storage tank and other forms of Pressure Vessels,https://dalim.co.kr/home_dl_en/,"Adress : 36, Jebu-ro 722beon-gil, Seosin-myeon, Hwaseong-si, Gyeonggi-do, Republic of Korea   |  Tel : 82-31-355-3329   |  Fax : 82-31-355-3772",-,-,D,DL CO LTD_Logo_Image_313.png,DL CO LTD_Rep_Image_314.png,,,DL CO LTD_Highlight_Image_315.png
7,DNV,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,,,,,
8,"Doosan Fuel Cell Co., Ltd.",-,Exhibitors,E,3,South Korea,-," Develop and supply for a phosphoric 
acid fuel cell (PAFC) that uses liquid 
phosphoric acid as an electrolyte","Doosan Fuel Cell PAFC Global Supply
Operation: approx. 330.94MW (758 units)
Construction: approx. 176.52MW (398 units)
https://www.doosanfuelcell.com/en/intro/intr-0401/",Fuel cell,Hydrogen Production Equipment Manaufacturers and its apparatus,https://www.doosanfuelcell.com/,-,-,-,D,Doosan Fuel Cell Co Ltd_Logo_Image_316.png,Doosan Fuel Cell Co Ltd_Rep_Image_317.png,,Doosan Fuel Cell Co Ltd_Contact_Image_318.png,Doosan Fuel Cell Co Ltd_Highlight_Image_319.png
9,Dr. Ryll Lab GmbH,-,Exhibitors,D,128,Germany,-,"The company's core competencies lie in the area of manufacturer-independent maintenance and the planning and construction of analytical measurement technology and gas quality measurement systems, gas analytics and technical project consulting. We have one of the most modern laboratories for hydrogen quality analysis in Europe.  we are able to measure the hydrogen quality directly on site in real time according to ISO 14687, SAEJ2719 or DIN EN 17124 with our mobile laboratory.","We support you with our many years of experience in the gas industry in the design, planning and installation of gas quality monitoring systems.",gas analytic,Hydrogen Production Equipment Manaufacturers and its apparatus,https://dr-ryll-lab.de/,-,-,-,D,Dr Ryll Lab GmbH_Logo_Image_320.png,Dr Ryll Lab GmbH_Rep_Image_321.png,,Dr Ryll Lab GmbH_Contact_Image_322.png,Dr Ryll Lab GmbH_Highlight_Image_323.png
10,Dräger Nederland B.V.,-,Exhibitors,A,118,Netherlands,-,"Information
With decades of experience in the process industry, Dräger is the ideal partner for customers and stakeholders – especially new players on the market – in assessing risks and providing comprehensive consultancy and hydrogen safety solutions. Dräger offers the first point of contact for hydrogen safety issues with thorough knowledge of the hazards of working with hydrogen.","Hospital
Improving critical care is what drives us. Learn how our solutions can help you protect, support and save lives – across departments and across your hospital.

Safety
Dräger is a globally recognised name in the field of safety technology. No matter your industry, our focus is to keep you safe on the job.","Technology, Innovation & Integrated Solutions",Green Field of Energy/ Start-up/Innovative Technology/AI Technology ,https://www.draeger.com/nl_nl/Home,-,-,-,D,Dräger Nederland BV_Logo_Image_324.png,Dräger Nederland BV_Rep_Image_325.png,,Dräger Nederland BV_Contact_Image_326.png,Dräger Nederland BV_Highlight_Image_327.png
11,Duiker Combustion Engineers,-,Exhibitors,B,10,Netherlands,-,"We develop, design and deliver innovative ammonia to hydrogen and ammonia to heat process solution and related equipment for the energy sector.

For decays we develop, design, test and support sulfur recovery process units for refineries.

Finally we trouble shoot combustion and process issues, tackle operational problems, analyse stack emissions and advise on reducing them and process improvements.",-,ammonia to hydrogen and ammonia to heat process solution,Renewable Energy Companies,https://duiker.com/,-,-,-,D,Duiker Combustion Engineers_Logo_Image_328.png,Duiker Combustion Engineers_Rep_Image_329.png,,Duiker Combustion Engineers_Contact_Image_330.png,Duiker Combustion Engineers_Highlight_Image_331.png
12,duisport – Duisburger Hafen AG,-,Exhibitors,C,62,Germany,-,"Duisburger Hafen AG (duisport) is the owner and operator of the world’s largest inland port – the Port of Duisburg. With ten subsidiaries, the duisport Group acts globally as a full service provider for comprehensive logistics solutions.","PSA International Pte Ltd (PSA), headquartered in Singapore,",transport and storage,Hydrogen Storage tank and other forms of Pressure Vessels,https://www.duisport.de/,"Phone: +49 203 803-0
Fax: +49 203 803-4232
mail@duisport.de",-,-,D,duisport  Duisburger Hafen AG_Logo_Image_332.png,duisport  Duisburger Hafen AG_Rep_Image_333.png,,,duisport  Duisburger Hafen AG_Highlight_Image_334.png
13,Dynex Semiconductor,-,Exhibitors,A,22,United Kingdom,-,"Dynex Semiconductor Ltd design and manufacture high and low power semiconductor devices and power assembly products and services for traction, power and renewable, industrial and electric vehicle applications.","Dynex has delivered its first IGBT based Hydrogen Electrolyser power supply unit. The power supply will be deployed to generate Hydrogen from a dedicated solar farm
(https://www.dynexsemi.com/Resources/News/power-supply-for-hydrogen-production-by-electrolysis)",Semiconductor and Power Assemblies operation,Hydrogen Production Equipment Manaufacturers and its apparatus,https://www.dynexsemi.com/,"Main Switchboard: +44(0)1522 500 500
Email Us: powersolutions@dynexsemi.com",-,-,D,Dynex Semiconductor_Logo_Image_335.png,Dynex Semiconductor_Rep_Image_336.png,,,Dynex Semiconductor_Highlight_Image_337.png
1,EA Elektro-Automatik GmbH & Co. KG,-,Exhibitors,E,74,Germany,-,"EA Elektro-Automatik, founded in 1974, is a leading supplier of high-performance power electronics for R&D and industrial applications. The company specializes in programmable DC power supplies, electronic loads, and bidirectional power supplies. They serve various sectors including automotive, electrochemistry, alternative energies, and process technology.","EA Elektro-Automatik provides high-efficiency power supplies and electronic loads for hydrogen and renewable energy applications. They offer solutions for fuel cell testing and electrolysis, critical for hydrogen production and energy storage​ ","sDC power supplies, electronic loads, and related software and interfaces",Hydrogen Production Equipment Manaufacturers and its apparatus,https://elektroautomatik.com/,"Phone: +49 21 62/37 85 – 0
Fax: +49 21 62/16 230
E-Mail: ea1974@elektroautomatik.com","EA Elektro-Automatik's products support hydrogen fuel cell testing and electrolysis, providing essential tools for developing hydrogen technologies and renewable energy systems​",-,E,EA Elektro-Automatik GmbH  Co KG_Logo_Image_338.png,EA Elektro-Automatik GmbH  Co KG_Rep_Image_339.png,,,
2,EATON,-,Exhibitors,D,4,United Arab Emirates,-,"Eaton Corporation plc is a multinational power management company providing energy-efficient solutions that help customers manage electrical, hydraulic, and mechanical power. The company was founded in 1911 and is headquartered in Dublin, Ireland, with significant operations in the United States​","Eaton is involved in various energy and power management projects, including providing infrastructure for hydrogen production and distribution through its electrical and power systems​ ",power management,Energy Conservation Technology,https://www.eaton.com/,jennifertolhurst@eaton.com,"Eaton's power management solutions support various aspects of the hydrogen economy, particularly through their advanced electrical infrastructure and systems designed for energy efficiency and sustainability",-,E,EATON_Logo_Image_340.png,EATON_Rep_Image_341.png,,,
3,EBARA Corporation,-,Exhibitors,E,76,Japan,-,"EBARA Corporation, founded in 1912 and formally established in 1920, is a leading Japanese company in the manufacturing of environmental and industrial machinery. The company specializes in pumps, compressors, turbines, chillers, and precision machinery, serving various industries including energy, infrastructure, and environmental solutions​ ","EBARA Corporation, founded in 1912 and formally established in 1920, is a leading Japanese company in the manufacturing of environmental and industrial machinery. The company specializes in pumps, compressors, turbines, chillers, and precision machinery, serving various industries including energy, infrastructure, and environmental solutions​ 

","EBARA operates in multiple sectors including building services, industrial machinery, energy, environmental solutions, and precision machinery​ ",Hydrogen Production Equipment Manaufacturers and its apparatus,https://www.ebara.co.jp/,"11-1 Haneda Asahi-cho, Ota-ku,
Tokyo 144-8510, Japan
Tel: +81-3-3743-6111",-,-,E,EBARA Corporation_Logo_Image_342.png,EBARA Corporation_Rep_Image_343.png,,,EBARA Corporation_Highlight_Image_344.png
4,EcoLyzer by Ecoclean GmbH,-,Exhibitors,D,88,Germany,-,"EcoLyzer is a product by Ecoclean GmbH, designed for alkaline electrolysis. It focuses on generating green hydrogen on site as needed, offering scalable, robust, and low-maintenance solutions with high gas quality and system pressure of up to 30 bars. The systems are ideal for energy-intensive industries like steel and chemical industries to produce green hydrogen economically and efficiently​","coclean has started series production of its EcoLyzer modular systems for pressurized alkaline electrolysis (AEL), available as scalable standalone solutions and turnkey systems with outputs ranging from 1 to 20 MW
(https://ecolyzer.com/fileadmin/files/EcoLyzer_Referenz_Teststand_fuer_Druckalkali_D3_0m_EN_2023.pdf)
","industrial machinery and hydrogen technology sectors, specifically focusing on parts cleaning, surface treatment, and hydrogen generation systems",Hydrogen Production Equipment Manaufacturers and its apparatus,https://ecolyzer.com/,"Hans-Georg-Weiss-Strasse 10
52156 Monschau
Germany

Phone: +49 (0) 2472 83-0
Email: info(at)ecolyzer.com","EcoLyzer enables the production of green hydrogen in large quantities using green electricity from renewable sources like wind and solar. It supports local authorities and industries by providing decentralized solutions for hydrogen production and storage, enhancing energy supply stability and reducing reliance on fossil fuels",-,E,EcoLyzer by Ecoclean GmbH_Logo_Image_345.png,,,,
5,Econnect Energy,-,Exhibitors,D,122,Norway,-,"Econnect Energy is a Norwegian company that was founded in 2012. It specializes in developing innovative solutions for the transfer of liquefied natural gas (LNG), ammonia, and liquid CO₂ without the need for fixed infrastructure like jetties or quays. The company aims to provide cost-effective and environmentally sustainable energy transfer solutions.","Econnect Energy is a key partner in ""Project Green,"" an ambitious initiative aimed at establishing a leading supply chain for clean E-fuels, including green ammonia, in Africa. The company’s jettyless transfer technology is pivotal in enabling the efficient and cost-effective transport of these renewable fuels.","Renewable Energy and Environmental Technology, focusing on LNG, ammonia, and CO₂ transfer solutions.

",Hydrogen Production Equipment Manaufacturers and its apparatus,https://www.econnectenergy.com/,"
Drammensveien 126A
0277 Oslo, Norway
Email: post@ecoenergy.no",-,-,E,Econnect Energy_Logo_Image_346.png,,,,Econnect Energy_Highlight_Image_347.png
6,Edmonton Global,-,Exhibitors,E,02S,Canada,-,"Edmonton Global is the foreign direct investment (FDI) and international business development agency for the Edmonton Metropolitan Region in Alberta, Canada. The organization was established to transform and grow the region's economy by attracting global investments and enhancing its global competitiveness.","Edmonton Global has been instrumental in developing Canada's largest hydrogen hub in the Edmonton region. This hub is crucial for driving the hydrogen economy in Western Canada, with over $30 billion in new hydrogen projects planned by 2030. Notable projects include the development of the world's largest net-zero hydrogen facility and the establishment of a 55 km hydrogen pipeline in the region.

","Economic Development, focusing on sectors such as hydrogen, AI & technology, clean technology, food & agriculture, and life sciences.",H2 Business developer &  Investor,https://edmontonglobal.ca/,"
Suite 2205 - 10020 100 St. NW Edmonton, Alberta T5J 0N3

Phone : 1-800-264-4952
Mail : sbouslama@edmontonglobal.ca","Edmonton Global's efforts in the hydrogen sector include promoting the region's capacity to produce low-cost, low-carbon hydrogen at a global scale. The organization supports the region's role as a driving force in Canada's hydrogen economy, emphasizing innovation and sustainability.",-,E,Edmonton Global_Logo_Image_348.png,,,,
7,EH GROUP Engineering AG,-,Exhibitors,D,24,Switzerland,-,"EH Group Engineering AG is a Swiss company specializing in the development and production of innovative hydrogen fuel cell technology. Founded in 2017, EH Group focuses on designing high-performance, cost-effective fuel cells to support the decarbonization of heavy-duty mobility and large stationary power applications.","EH Group recently raised over CHF 5 million in Pre-Series A funding to advance its zero-emission fuel cell technology. The company has also been awarded a grant from the European Commission's Horizon 2020 Accelerator program to boost the development of its innovative fuel cell technology .

",hydrogen fuel cell technologies,Hydrogen Production Equipment Manaufacturers and its apparatus,https://www.ehgroup.ch/,"Chemin de Vuarpillière 27
2nd floor
1260 Nyon
Switzerland
Phone  :  +41 22 994 3300
Email  :  info@ehgroup.ch","EH Group's proprietary fuel cell technology features a unique microstructure that delivers unrivalled performance and design flexibility. The company's fuel cells are designed to provide reliable power across challenging operating conditions, supporting the transition to hydrogen-based energy systems.


",-,E,EH GROUP Engineering AG_Logo_Image_349.png,EH GROUP Engineering AG_Rep_Image_350.png,,,
